date,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,night1,night2,night3,night4,night5,night6,night7,night8,night9,night10,weather1,weather2,weather3,weather4,weather5,weather6,weather7,weather8,weather9,weather10
2024-05-15,17,18,13,14,20,19,20,16,14,18,0,4,6,2,4,7,9,5,4,6,Ясно,Облачно с прояснениями,Небольшой дождь,Ясно,Небольшой дождь,Небольшой дождь,Небольшой дождь,Облачно с прояснениями,Облачно с прояснениями,Ясно
2024-05-16,18,19,13,15,21,21,17,15,12,14,2,4,6,2,5,8,9,7,3,3,Ясно,Облачно с прояснениями,Небольшой дождь,Ясно,Облачно с прояснениями,Ясно,Ясно,Дождь,Небольшой дождь,Облачно с прояснениями
2024-05-17,20,12,15,21,21,15,9,10,12,11,7,7,3,4,8,7,2,1,2,4,Облачно с прояснениями,Облачно с прояснениями,Ясно,Ясно,Ясно,Облачно с прояснениями,Снег с дождем,Небольшой дождь,Небольшой дождь,Небольшой дождь
2024-05-18,11,14,21,21,13,9,10,15,16,20,6,4,4,9,7,3,2,2,9,6,Небольшой дождь,Облачно с прояснениями,Ясно,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Гроза
2024-05-19,13,20,22,16,9,9,15,17,18,15,3,3,8,6,2,1,2,11,7,3,Облачно с прояснениями,Ясно,Ясно,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Ясно
2024-05-20,21,23,14,9,10,18,15,9,11,13,5,9,7,2,1,2,9,4,0,-1,Ясно,Облачно с прояснениями,Ясно,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Небольшой дождь,Снег с дождем,Облачно
2024-05-21,24,15,9,10,20,15,12,12,14,19,10,6,1,0,1,10,5,4,2,2,Облачно с прояснениями,Облачно с прояснениями,Небольшой дождь,Облачно с прояснениями,Ясно,Небольшой дождь,Облачно с прояснениями,Небольшой дождь,Небольшой дождь,Облачно
2024-05-22,14,10,10,24,16,12,12,18,20,23,7,1,0,3,7,3,4,3,12,10,Небольшой дождь,Облачно с прояснениями,Облачно,Облачно с прояснениями,Небольшой дождь,Облачно,Небольшой дождь,Облачно с прояснениями,Гроза,Гроза
2024-05-23,8,10,25,15,10,14,13,12,19,21,3,1,4,6,2,7,8,4,7,10,Небольшой дождь,Облачно,Облачно с прояснениями,Небольшой дождь,Облачно,Небольшой дождь,Небольшой дождь,Облачно,Небольшой дождь,Гроза
2024-05-24,10,25,15,10,14,13,12,19,21,17,1,4,6,2,7,8,4,7,10,10,Облачно,Облачно с прояснениями,Небольшой дождь,Облачно,Небольшой дождь,Небольшой дождь,Облачно,Небольшой дождь,Гроза,Небольшой дождь
2024-05-25,24,16,10,17,15,17,19,21,20,19,6,5,2,9,8,4,5,9,12,12,Небольшой дождь,Небольшой дождь,Облачно,Дождь,Дождь,Облачно с прояснениями,Ясно,Облачно с прояснениями,Облачно,Гроза
